traffic_model,series,forecaster,seed,mae,mse,rmse,smape,dir_acc,count
ramped,cloud,holt_winters,123,0.019140423371134332,0.0025452482437368826,0.05045045335511746,167.85344060773826,65.53672316384181,487
ramped,cloud,naive_persistence,7,0.020940792564427543,0.004234953689729099,0.06507652180110042,60.90930832569122,52.48618784530387,526
ramped,cloud,naive_persistence,19,0.022946494084899096,0.0036577254520673216,0.06047913236867177,80.66001510123672,49.51456310679612,479
ramped,cloud,naive_persistence,42,0.021310296762170975,0.003981601332156119,0.06309993131657211,57.50698224672433,50.314465408805034,477
ramped,cloud,naive_persistence,101,0.029266386989553656,0.00547407346355028,0.07398698171672013,74.43717006265636,50.753768844221106,468
ramped,cloud,naive_persistence,123,0.017330397922312557,0.003319072932640068,0.05761139585741755,66.37560000305618,50.0,492
ramped,cloud,simple_exp_smooth,7,0.020178507113838007,0.00260076652025105,0.050997710931482504,183.93501221466178,75.97765363128492,524
ramped,cloud,simple_exp_smooth,19,0.021952019658386942,0.0022298182961193037,0.04722095187646373,181.98246144493098,79.12621359223301,477
ramped,cloud,simple_exp_smooth,42,0.021546967782271054,0.0025951225962797374,0.05094234580660511,180.41476783978365,78.48101265822785,475
ramped,cloud,simple_exp_smooth,101,0.02945947990828117,0.0035697219324213924,0.05974714999413271,176.80777679519238,79.89949748743719,466
ramped,cloud,simple_exp_smooth,123,0.01737533944507433,0.002126029198203485,0.04610888415699826,183.55647151808938,73.18435754189944,490
ramped,cloud,arima_1_1_0,7,0.02024917724889399,0.0031159066341375427,0.05582030664675305,76.94771353072527,69.66292134831461,519
ramped,cloud,arima_1_1_0,19,0.0224395912944165,0.002800117567812415,0.05291613712103724,104.79335513118536,71.07843137254902,472
ramped,cloud,arima_1_1_0,42,0.020972435597602347,0.003016511325492465,0.05492277601771842,74.85981762390841,62.82051282051282,470
ramped,cloud,arima_1_1_0,101,0.03044098580585951,0.0045707609709072766,0.06760740322558823,91.32338085107398,69.84924623115577,461
ramped,cloud,arima_1_1_0,123,0.018248079333631265,0.0027775752515145106,0.0527027063016171,84.24461024599532,68.18181818181819,485
