policy,seed,traffic_model,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
predictive,314,step,500,63.8,36.2,0.62561106309703,1.752595257164708,0.3953296146264156,7.2,0.6864807613636362,0.014815030050505053,0.43644437286019,0.3091843522727272,0.03635617410919541,0.02527728813131313,0.0,0.0,358,9.497206703910615,0.7072961213439559,142,1.408450704225352,0.41967267681252685
edge_only,500,step,500,100.0,0.0,1.4153002824999996,3.8021251041666653,0.25799094300000003,42.6,1.225634769131714,0.0,0.3908470839030013,0.3131753035320088,0.030317922273580888,0.0,0.0,0.0,334,48.203592814371255,1.5731045770958076,166,31.325301204819276,1.0977904367469877
cloud_only,500,step,500,0.0,100.0,0.902066134194293,2.3205037291231894,0.9833692363959828,20.6,0.0,0.07533161785626687,0.1266856037860344,0.0,0.09871688727869543,0.09743490875643855,0.0,0.0,334,27.84431137724551,1.0599652359046525,166,6.024096385542169,0.5843655319577868
threshold,500,step,500,82.4,17.6,0.5932784359890599,2.3205037291231894,0.5364852994646148,15.2,0.21962126747608537,0.03423744959529065,0.24234815796094605,0.18406699135393673,0.10136097431988329,0.05963105420652441,0.0,0.0,334,19.461077844311376,0.6727000313483323,166,6.626506024096385,0.4334783585794396
reactive,500,step,500,67.6,32.4,0.5803874931365968,1.649426104166666,0.3703241416135252,6.6,0.5854463502575422,0.010675449350012264,0.4032648933843007,0.2897979433406917,0.02837748182150396,0.01810623963698798,0.0,0.0,334,8.982035928143713,0.6719848136979385,166,1.8072289156626506,0.3960892698384756
naive_persistence,500,step,500,67.6,32.4,0.5813581736892134,1.6589524583333333,0.36715709163117516,6.2,0.5785030215231788,0.011104015207260239,0.4020925977556285,0.28961622516556296,0.02995550411826597,0.0193513178807947,0.0,0.0,334,8.383233532934131,0.6748923310769441,166,1.8072289156626506,0.39316294135486357
arima,500,step,500,67.6,32.4,0.5813581736892134,1.6589524583333333,0.36715709163117516,6.2,0.5785030215231788,0.011104015207260239,0.4020925977556285,0.28961622516556296,0.02995550411826597,0.0193513178807947,0.28554431539802055,0.28961622516556296,334,8.383233532934131,0.6748923310769441,166,1.8072289156626506,0.39316294135486357
predictive,500,step,500,67.0,33.0,0.5781178380558438,1.6589524583333333,0.3691196568696979,6.2,0.5739722774098601,0.011594491047338729,0.402067401631643,0.28866347866077996,0.03081966494191456,0.02015186926661761,0.0,0.0,334,8.383233532934131,0.6733372284988978,166,1.8072289156626506,0.38653183559813287
edge_only,613,step,500,100.0,0.0,1.8778407541666668,4.688809291666666,0.26146960175000006,54.0,1.6963180090408807,0.0,0.42930661310562623,0.3406302505896226,0.0332278291947108,0.0,0.0,0.0,329,50.45592705167173,1.7258681674265455,171,60.8187134502924,2.170232456140351
cloud_only,613,step,500,0.0,100.0,0.8942984425846242,2.431119331446821,0.9666322459036446,17.4,0.0,0.08339688312368973,0.13884485770647015,0.0,0.10965750671884252,0.10840739884696016,0.0,0.0,329,24.924012158054712,1.0688035244061296,171,2.9239766081871346,0.558554747150266
threshold,613,step,500,81.2,18.8,0.6135572791208102,2.381392446288581,0.543146031857434,14.2,0.2278289072327044,0.04188383647798742,0.254829043810284,0.19100872838050315,0.12192805385460129,0.07151171016771489,0.0,0.0,329,17.933130699088146,0.6983746887876704,171,7.017543859649122,0.4503705669547456
reactive,613,step,500,65.0,35.0,0.5955722668615363,1.7959978333333313,0.38180186880951206,6.2,0.6570174970518866,0.014841477987421383,0.4561201084114598,0.3135109964622642,0.03499742067309413,0.024092194444444447,0.0,0.0,329,9.422492401215806,0.6735019417124973,171,0.0,0.4456373953646575
naive_persistence,613,step,500,64.4,35.6,0.5913916142191306,1.816250625,0.3811303305054604,6.2,0.6551766420990566,0.015137707023060795,0.45785964714865257,0.31617418238993716,0.035132222035713395,0.024459689203354295,0.0,0.0,329,9.422492401215806,0.6698471262604409,171,0.0,0.4404450442683058
arima,613,step,500,64.4,35.6,0.5913916142191306,1.816250625,0.3811303305054604,6.2,0.6551766420990566,0.015137707023060795,0.45785964714865257,0.31617418238993716,0.035132222035713395,0.024459689203354295,0.314318163630113,0.31617418238993716,329,9.422492401215806,0.6698471262604409,171,0.0,0.4404450442683058
predictive,613,step,500,63.4,36.6,0.5875938690860576,1.822750895833333,0.3834431790980092,6.4,0.6486260397012579,0.016163917976939203,0.4555408107603242,0.31156739386792454,0.03775353112529946,0.026628827568134176,0.0,0.0,329,9.72644376899696,0.6669042060091539,171,0.0,0.43500263605857953
edge_only,728,step,500,100.0,0.0,2.3486592108333344,5.3272983125000035,0.28262821125,65.0,2.310968239279936,0.0,0.44198829876602325,0.3562826537216828,0.03369108156544968,0.0,0.0,0.0,358,68.15642458100558,2.4128620728584735,142,57.04225352112676,2.186795657276997
cloud_only,728,step,500,0.0,100.0,0.9697290659029936,2.644004577389498,1.070445523131804,22.4,0.0,0.09015625836030204,0.14078059082705757,0.0,0.11622600206718965,0.11359169066882416,0.0,0.0,358,27.374301675977655,1.0937678178814143,142,9.859154929577464,0.6570116489433139
threshold,728,step,500,79.6,20.4,0.6582904123961127,2.6204795900028204,0.6293827273145477,16.8,0.23322393406148867,0.0469986089536138,0.2715287720275489,0.20752035497572816,0.12124263430025865,0.07504724973031285,0.0,0.0,358,18.71508379888268,0.7197068052270078,142,11.971830985915492,0.5034519008928703
reactive,728,step,500,65.2,34.8,0.6700180164411504,1.8495095970270576,0.419512900941326,8.6,0.7581018567961164,0.017652334681769147,0.452595934139023,0.3194691150889968,0.045015029119294676,0.028414065264293423,0.0,0.0,358,9.217877094972067,0.7309226133313148,142,7.042253521126761,0.5164698073800313
naive_persistence,728,step,500,64.4,35.6,0.6653954744477778,1.8465848333333335,0.42055081972372776,8.4,0.7548630936488673,0.017718685275080907,0.45501453122968993,0.31946173240291265,0.04452485338457224,0.028521999460625672,0.0,0.0,358,8.938547486033519,0.7269065362164768,142,7.042253521126761,0.5103182905520438
arima,728,step,500,64.2,35.8,0.6671078715406451,1.8932550416666656,0.4199241704124594,8.2,0.7560848948220064,0.01789027346278317,0.4527676335205712,0.31745468750000005,0.045035208613780894,0.0283439331175836,0.31640555564834405,0.31745468750000005,358,8.659217877094973,0.7282089679744875,142,7.042253521126761,0.5130642622215215
predictive,728,step,500,63.8,36.2,0.6530218124397222,1.849443604166666,0.4257665660813626,8.2,0.722241628236246,0.019312400755124057,0.447202035279032,0.3124267546521035,0.04830117781557438,0.030378769147788563,0.0,0.0,358,8.659217877094973,0.7124321718722768,142,7.042253521126761,0.5032407654196197
edge_only,841,step,500,100.0,0.0,1.3233900650000006,4.373503374999999,0.262288719,38.4,1.1636857333333337,0.0,0.38182409625897396,0.3061972157894737,0.02957347191846404,0.0,0.0,0.0,316,42.40506329113924,1.4975680142405066,184,31.52173913043478,1.0242583695652177
cloud_only,841,step,500,0.0,100.0,0.8583740442919504,2.3209563560359956,0.9301024526083939,17.6,0.0,0.07258249473684211,0.12357486480215334,0.0,0.09706664447947341,0.09223397192982456,0.0,0.0,316,25.0,1.0641477283476353,184,4.891304347826087,0.5049801086311002
threshold,841,step,500,81.4,18.6,0.5443461021443949,2.094870667197125,0.5015977386351873,10.6,0.1891824403508772,0.03545591742690059,0.23960930361795674,0.1862033192982456,0.10098686336696855,0.05660456140350877,0.0,0.0,316,15.189873417721518,0.6432831169761735,184,2.717391304347826,0.37443253319416653
reactive,841,step,500,70.0,30.0,0.5408958799674699,1.626340803479821,0.3553607324899184,6.4,0.5259266192982456,0.01145649216374269,0.3963689913404194,0.28081009122807016,0.03268302301812386,0.018809095204678362,0.0,0.0,316,9.49367088607595,0.6525738898938904,184,1.0869565217391304,0.3491010368329648
