policy,seed,tasks,edge_pct,cloud_pct,avg_latency,p95_latency,avg_energy,violation_pct,avg_edge_backlog,avg_cloud_backlog,edge_pred_mae,edge_naive_mae,cloud_pred_mae,cloud_naive_mae,arima_pred_mae,arima_naive_mae,burst_tasks,burst_violation_pct,burst_avg_latency,calm_tasks,calm_violation_pct,calm_avg_latency
cloud_only,256,500,0.0,100.0,0.8938231413334541,2.3993617119995294,0.986670745632701,16.6,0.0,0.06947187661895025,0.11793994410376145,0.0,0.09396372270325955,0.0925095548738923,0.0,0.0,380,21.31578947368421,1.033904430892106,120,1.6666666666666667,0.45023239106438917
threshold,256,500,82.2,17.8,0.5638874027568552,2.3559684444058333,0.5317482402398955,11.8,0.18618220006816633,0.03258461645080663,0.23135722535767472,0.1834793379345603,0.09552237814603842,0.05050423267439218,0.0,0.0,380,14.473684210526315,0.6345207780480975,120,3.3333333333333335,0.34021504766792154
reactive,256,500,77.0,23.0,0.5366771206718701,1.5706350624999998,0.3376743376243123,4.4,0.5346634159850036,0.008205950693024313,0.39749535165626143,0.29994931237218814,0.02357933545305679,0.013609596000908882,0.0,0.0,380,5.7894736842105265,0.610138028721355,120,0.0,0.30405091184850147
naive_persistence,256,500,77.0,23.0,0.5346376554390558,1.5944110416666657,0.34217445834082255,4.8,0.5250031842194957,0.00845489002499432,0.39734113978820884,0.3006985250511247,0.02467690961653778,0.014112383549193364,0.0,0.0,380,6.315789473684211,0.6077985740366953,120,0.0,0.30296141321319686
arima,256,500,76.6,23.4,0.5341635394993661,1.569939416666666,0.34200646944892626,4.8,0.5266352709611453,0.008460430356737105,0.39845368589973906,0.3002967919222904,0.024212337194267526,0.014101196091797318,0.3008674109535064,0.3002967919222904,380,6.315789473684211,0.6068559427496674,120,0.0,0.3039709292067459
predictive,256,500,76.0,24.0,0.5312611386797349,1.569939416666666,0.3469429699875244,4.8,0.5136177479550103,0.00891980163599182,0.39768952437453636,0.299132511077028,0.025835688868744166,0.015157796864349012,0.0,0.0,380,6.315789473684211,0.6045641141560218,120,0.0,0.2991350496714928
edge_only,314,500,100.0,0.0,2.1862522408333347,7.618514958333334,0.27389256562500003,47.2,1.9730607329545473,0.0,0.41483214436418686,0.34165385416666666,0.03193175041336261,0.0,0.0,0.0,389,49.3573264781491,2.313648732862041,111,39.63963963963964,1.7397906606606628
cloud_only,314,500,0.0,100.0,0.938797243327148,2.5743654241980654,1.0367980661922467,19.8,0.0,0.08233336464646464,0.13342909994155092,0.0,0.10344008113517085,0.10065661085858586,0.0,0.0,389,25.19280205655527,1.0769343914827918,111,0.9009009009009009,0.45469498537628783
threshold,314,500,80.6,19.4,0.6380300716159746,2.560359201611399,0.5958647662460235,15.8,0.21422446212121213,0.04396682247474748,0.24050351465882025,0.18763805587121213,0.12139912704877787,0.07008525252525252,0.0,0.0,389,19.794344473007712,0.7152485739866504,111,1.8018018018018018,0.36741748222684995
reactive,314,500,66.0,34.0,0.6292292382825216,1.8277235208333322,0.3904327677981544,7.0,0.6781329782196968,0.014887118686868686,0.42732435164752386,0.3039888352272727,0.037910603937934426,0.0252067351010101,0.0,0.0,389,8.997429305912597,0.7066105867356747,111,0.0,0.35804595406381445
naive_persistence,314,500,64.8,35.2,0.627944312645883,1.8051197916666655,0.3900331900873582,6.8,0.6834833115530301,0.01451540606060606,0.43711306767652347,0.3105210473484848,0.036149477702343814,0.02487954722222222,0.0,0.0,389,8.740359897172237,0.7048756962220523,111,0.0,0.35833793236543393
arima,314,500,64.8,35.2,0.6283437894630899,1.8051197916666655,0.3897283721708371,6.8,0.6807547736742423,0.014927375757575757,0.43511504679612767,0.3080616988636363,0.03716510599775521,0.02558418964646465,0.3092314715301896,0.3080616988636363,389,8.740359897172237,0.7048756962220523,111,0.0,0.360137377487988
predictive,314,500,63.8,36.2,0.62561106309703,1.752595257164708,0.3953296146264156,7.2,0.6864807613636362,0.014815030050505053,0.43651675659938216,0.3091843522727272,0.036382643672283575,0.02527728813131313,0.0,0.0,389,9.254498714652957,0.703358785332421,111,0.0,0.35314382030813746
edge_only,500,500,100.0,0.0,1.4153002824999996,3.8021251041666653,0.25799094300000003,42.6,1.225634769131714,0.0,0.3908976655411338,0.3131753035320088,0.030333327394982085,0.0,0.0,0.0,384,48.697916666666664,1.580097925347222,116,22.413793103448278,0.8697632579022985
cloud_only,500,500,0.0,100.0,0.902066134194293,2.3205037291231894,0.9833692363959828,20.6,0.0,0.07533161785626687,0.12674997518617515,0.0,0.0987476502683204,0.09743490875643855,0.0,0.0,384,26.822916666666668,1.065220456627886,116,0.0,0.36196906682791596
